15 1902 5665
0 0 -0.0806551 -0.315698
1 0 -0.0521304 -0.344226
0 1 -0.0735239 -0.298377
1 1 -0.046018 -0.328943
0 2 -0.0511117 -0.26883
1 2 -0.0246245 -0.300415
0 3 -0.0164746 -0.251509
1 3 0.00797512 -0.283094
0 4 -0.174379 -0.246415
1 4 -0.146873 -0.290226
0 5 -0.0307369 -0.24234
1 5 -0.00628722 -0.275962
0 6 -0.18151 -0.236226
1 6 -0.154004 -0.282075
0 7 -0.166229 -0.235208
1 7 -0.139742 -0.280037
0 8 0.00288143 -0.230113
1 8 0.0254567 -0.26288
0 9 -0.180491 -0.225019
1 9 -0.152986 -0.271887
0 10 -0.0123996 -0.181208
1 10 0.00899385 -0.219925
0 11 0.0140875 -0.174076
1 11 0.035481 -0.210755
0 12 0.000843949 -0.163887
1 12 0.0212187 -0.203623
0 13 0.00186269 -0.158793
1 13 0.0222374 -0.198529
0 14 0.0344623 -0.148604
1 14 0.0538183 -0.187321
0 15 0.148561 -0.0721897
1 15 0.166287 -0.106627
0 16 0.237191 -0.047737
1 16 0.255528 -0.0762651
0 17 0.131242 0.00728156
1 17 0.144282 -0.0357144
0 18 0.250435 0.0225645
1 18 0.266735 -0.0100391
0 19 0.250435 0.0256211
1 19 0.266735 -0.0069825
0 20 0.255528 0.0347908
1 20 0.271828 0.00218725
0 21 0.10068 0.141771
1 21 0.106793 0.0877716
0 22 0.155692 0.19679
1 22 0.160419 0.146458
0 0 -0.0806551 -0.315698
0 23 -0.0745426 -0.298581
1 23 -0.0464255 -0.329147
0 24 -0.047648 -0.26557
1 24 -0.0219757 -0.297358
0 25 -0.0170858 -0.252121
1 25 0.0073639 -0.283909
0 26 -0.174786 -0.246007
1 26 -0.146669 -0.290022
0 27 -0.0317557 -0.243562
1 27 -0.00730596 -0.276573
0 8 0.00247397 -0.230113
0 28 -0.191901 -0.226445
1 28 -0.165251 -0.27315
0 29 -0.185789 -0.224
1 29 -0.158894 -0.271683
